"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","Amp  (A) [µM]","Amp - slope  (A) [pmol/(s*ml)]","Amp  (B) [µM]","Amp - slope  (B) [pmol/(s*ml)]"
1200.00,"Off, On, On, C57, 3xTg, LOff","Right, Left, Right, Left, Right, Both","Right stirrer switched off, Left stirrer reached speed setting of  750 rpm, Right stirrer reached speed setting of  750 rpm, , , Light off",174.3819,3.3893,174.1441,3.8539,-0.3366,-0.0208,-0.3767,-0.0155
1202.00,"","","",174.4158,3.2198,174.1274,3.6025,-0.3367,-0.0204,-0.3767,-0.0148
1204.00,"","","",174.4242,3.0080,174.1400,3.3931,-0.3367,-0.0204,-0.3767,-0.0148
1206.00,"","","",174.4200,2.7961,174.1567,3.1417,-0.3366,-0.0196,-0.3767,-0.0142
1208.00,"","","",174.4158,2.5843,174.1483,2.8904,-0.3366,-0.0192,-0.3767,-0.0135
1210.00,"","","",174.4073,2.4572,174.1400,2.6391,-0.3367,-0.0188,-0.3767,-0.0129
1212.00,"","","",174.3861,2.3725,174.1274,2.4296,-0.3368,-0.0184,-0.3768,-0.0129
1214.00,"","","",174.3776,2.3301,174.1274,2.2620,-0.3367,-0.0176,-0.3768,-0.0123
1216.00,"","","",174.4200,2.2030,174.1106,2.1783,-0.3368,-0.0168,-0.3769,-0.0123
1218.00,"","","",174.4369,1.9488,174.1190,2.0526,-0.3367,-0.0164,-0.3769,-0.0123
1220.00,"","","",174.4369,1.6523,174.1274,1.9688,-0.3367,-0.0160,-0.3769,-0.0123
1222.00,"","","",174.4200,1.4404,174.1064,1.8850,-0.3368,-0.0152,-0.3770,-0.0123
1224.00,"","","",174.4285,1.2710,174.1148,1.8013,-0.3367,-0.0148,-0.3771,-0.0123
1226.00,"","","",174.4158,1.1862,174.1316,1.6756,-0.3367,-0.0140,-0.3771,-0.0123
1228.00,"","","",174.3903,1.0591,174.1567,1.5499,-0.3367,-0.0132,-0.3769,-0.0116
1230.00,"","","",174.3861,0.9744,174.1609,1.3824,-0.3367,-0.0128,-0.3769,-0.0116
