"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","TMRM  (A) [µM]","TMRM  (B) [µM]","mtMPrel (A)  [au]","mtMPrel  (B)  [au]"
900.00,"LOff, C57, 3X Tg","Both, Left, Right","Light off, , ",179.5692,1.3470,179.2797,1.9406,0.0263,0.0105,0.0000,0.0000
902.00,"","","",179.5593,1.2473,179.2695,1.9917,0.0262,0.0105,-0.0001,0.0000
904.00,"","","",179.5543,1.1974,179.2593,1.9406,0.0263,0.0104,0.0000,0.0000
906.00,"","","",179.5642,1.1974,179.2440,1.9406,0.0263,0.0104,0.0000,0.0000
908.00,"","","",179.5543,1.2473,179.2337,1.9917,0.0262,0.0104,0.0000,0.0000
910.00,"","","",179.5393,1.3969,179.2491,1.9917,0.0262,0.0106,-0.0001,0.0000
912.00,"","","",179.5243,1.4967,179.2389,1.9917,0.0264,0.0107,0.0001,0.0001
914.00,"","","",179.5393,1.5466,179.1980,2.0428,0.0262,0.0105,0.0000,0.0000
916.00,"","","",179.5742,1.4967,179.1980,2.0939,0.0264,0.0105,0.0001,0.0000
918.00,"","","",179.5792,1.4468,179.2184,2.0939,0.0262,0.0107,0.0000,0.0001
920.00,"","","",179.5493,1.3969,179.2337,2.1449,0.0262,0.0107,0.0000,0.0001
922.00,"","","",179.5343,1.3470,179.2286,2.1960,0.0264,0.0105,0.0001,0.0000
924.00,"","","",179.5193,1.3470,179.2235,2.2471,0.0267,0.0107,0.0002,0.0001
926.00,"","","",179.5144,1.3969,179.2389,2.2471,0.0265,0.0107,0.0001,0.0001
928.00,"","","",179.5193,1.3969,179.2082,2.2981,0.0265,0.0107,0.0001,0.0001
930.00,"","","",179.5144,1.4468,179.1520,2.4513,0.0265,0.0107,0.0001,0.0001
932.00,"","","",179.5193,1.4468,179.1163,2.6556,0.0262,0.0108,-0.0001,0.0001
934.00,"T 0.5","Both","",179.5293,1.4468,179.1214,2.7578,0.0264,0.0107,0.0001,0.0001
936.00,"","","",179.5293,1.3969,179.1418,2.8088,0.0264,0.0108,0.0000,0.0001
938.00,"","","",179.5144,1.4967,179.1316,2.7578,0.2718,0.0109,0.1225,0.0002
940.00,"","","",179.5543,1.4468,179.1214,2.7578,0.4967,0.0108,0.2347,0.0001
942.00,"","","",179.6989,1.0976,179.1112,2.7578,0.4985,0.0108,0.2356,0.0001
944.00,"","","",179.7838,0.5987,179.1112,2.8088,0.4947,0.0185,0.2337,0.0040
946.00,"","","",179.8087,0.1497,179.0907,2.8599,0.4910,0.4009,0.2319,0.1950
948.00,"","","",179.8137,-0.3492,179.1827,2.7578,0.4880,0.5065,0.2304,0.2477
950.00,"","","",179.8037,-0.7982,179.2848,2.5024,0.4850,0.5035,0.2288,0.2462
952.00,"","","",179.8037,-1.1974,179.3512,2.0939,0.4822,0.4992,0.2275,0.2441
954.00,"","","",179.8337,-1.5965,179.3512,1.6853,0.4796,0.4951,0.2262,0.2420
956.00,"","","",179.8586,-2.0455,179.3512,1.2257,0.4775,0.4916,0.2251,0.2403
958.00,"","","",179.8486,-2.4945,179.3665,0.7660,0.4755,0.4885,0.2241,0.2387
960.00,"","","",179.8237,-2.8437,179.3665,0.3064,0.4735,0.4856,0.2231,0.2373
962.00,"","","",179.8087,-3.1431,179.3665,-0.1021,0.4716,0.4829,0.2222,0.2359
964.00,"","","",179.7937,-3.4424,179.3716,-0.4596,0.4697,0.4804,0.2212,0.2347
966.00,"","","",179.7788,-3.6919,179.3614,-0.7150,0.4682,0.4780,0.2205,0.2335
968.00,"","","",179.7738,-3.9413,179.3716,-1.0214,0.4669,0.4759,0.2198,0.2324
970.00,"","","",179.7888,-4.1409,179.3716,-1.2767,0.4653,0.4740,0.2190,0.2315
972.00,"","","",179.7888,-4.3404,179.3818,-1.4810,0.4638,0.4721,0.2183,0.2306
974.00,"","","",179.7937,-4.4901,179.3972,-1.7364,0.4899,0.4706,0.2313,0.2298
976.00,"","","",179.8337,-4.6897,179.4074,-2.0428,0.9265,0.4688,0.4491,0.2289
978.00,"","","",179.9085,-4.9890,179.3972,-2.3492,1.0050,0.4672,0.4883,0.2281
980.00,"","","",179.9684,-5.3382,179.3870,-2.6556,1.0013,0.4658,0.4864,0.2274
982.00,"","","",180.0033,-5.7374,179.3870,-2.9110,0.9966,0.4646,0.4841,0.2268
984.00,"","","",180.0482,-6.1365,179.3767,-3.0642,0.9921,0.8191,0.4819,0.4039
986.00,"T 1.0","Both","",180.0532,-6.4857,179.4278,-3.3195,0.9885,1.0270,0.4801,0.5077
988.00,"","","",180.0532,-6.8349,179.5248,-3.7281,0.9849,1.0258,0.4783,0.5070
990.00,"","","",180.0781,-7.0844,179.5606,-4.1877,0.9818,1.0205,0.4767,0.5044
992.00,"","","",180.0931,-7.3338,179.5351,-4.5452,0.9788,1.0155,0.4752,0.5019
994.00,"","","",180.1031,-7.5833,179.5248,-4.8005,0.9759,1.0112,0.4738,0.4998
996.00,"","","",180.1130,-7.8327,179.5453,-5.0559,0.9732,1.0072,0.4724,0.4978
998.00,"","","",180.0981,-8.0323,179.5453,-5.3112,0.9706,1.0033,0.4711,0.4958
1000.00,"","","",180.0831,-8.0822,179.5606,-5.5666,0.9686,0.9999,0.4702,0.4941
1002.00,"","","",180.0582,-8.0323,179.5708,-5.8730,0.9662,0.9967,0.4689,0.4925
1004.00,"","","",180.0482,-7.8327,179.5963,-6.1283,0.9642,0.9939,0.4679,0.4911
1006.00,"","","",180.0133,-7.5833,179.6066,-6.3837,1.0156,0.9912,0.4936,0.4898
1008.00,"","","",179.9783,-7.1842,179.6014,-6.5880,1.4557,0.9888,0.7132,0.4886
1010.00,"","","",180.0881,-6.9347,179.6321,-6.6390,1.5243,0.9863,0.7474,0.4873
1012.00,"","","",180.2128,-6.8848,179.6219,-6.5880,1.5207,0.9842,0.7456,0.4863
1014.00,"T 1.5","Both","",180.2777,-6.8848,179.5759,-6.4348,1.5163,0.9819,0.7434,0.4852
1016.00,"","","",180.3176,-6.9347,179.5657,-6.2305,1.5121,0.9799,0.7413,0.4841
1018.00,"","","",180.3475,-6.8848,179.5657,-5.9751,1.5082,1.2975,0.7394,0.6428
1020.00,"","","",180.3625,-6.8848,179.6321,-5.8219,1.5046,1.5156,0.7376,0.7517
1022.00,"","","",180.3375,-7.0345,179.7291,-5.7198,1.5012,1.5154,0.7359,0.7516
1024.00,"","","",180.3276,-7.2839,179.7955,-5.7198,1.4981,1.5105,0.7343,0.7491
1026.00,"","","",180.3575,-7.5833,179.8006,-5.6177,1.4952,1.5058,0.7329,0.7468
1028.00,"","","",180.3775,-7.8826,179.8210,-5.6177,1.4926,1.5014,0.7316,0.7446
1030.00,"","","",180.3725,-8.0822,179.8313,-5.8219,1.4903,1.4979,0.7304,0.7428
1032.00,"","","",180.3824,-8.2319,179.8415,-6.1283,1.4880,1.4944,0.7293,0.7411
1034.00,"","","",180.3824,-8.4314,179.8466,-6.3837,1.4855,1.4909,0.7280,0.7394
1036.00,"","","",180.3675,-8.5811,179.8466,-6.5880,1.5183,1.4881,0.7444,0.7379
1038.00,"","","",180.3326,-8.5811,179.8517,-6.7923,1.9568,1.4855,0.9632,0.7366
1040.00,"T 2.0","Both","",180.4074,-8.6310,179.8517,-6.9455,2.0382,1.4827,1.0038,0.7353
1042.00,"","","",180.5072,-8.7806,179.8517,-7.0476,2.0352,1.4801,1.0023,0.7340
1044.00,"","","",180.5770,-8.9802,179.8415,-7.0987,2.0306,1.5472,1.0000,0.7675
1046.00,"","","",180.6269,-9.1798,179.8415,-7.0987,2.0264,1.9777,0.9979,0.9824
1048.00,"","","",180.6469,-9.2795,179.9845,-7.3029,2.0228,2.0251,0.9961,1.0061
1050.00,"","","",180.6469,-9.3793,180.0866,-7.6604,2.0193,2.0201,0.9944,1.0037
1052.00,"","","",180.6469,-9.3294,180.1172,-8.0179,2.0159,2.0150,0.9927,1.0011
1054.00,"","","",180.6369,-9.2795,180.1326,-8.3754,2.0128,2.0107,0.9911,0.9989
1056.00,"","","",180.6369,-9.1798,180.1581,-8.7329,2.0098,2.0066,0.9896,0.9969
1058.00,"","","",180.6369,-9.1299,180.1377,-8.9372,2.0075,2.0029,0.9885,0.9950
1060.00,"","","",180.6319,-9.1299,180.1326,-9.0393,2.0052,1.9994,0.9873,0.9933
1062.00,"","","",180.6419,-9.1798,180.1275,-9.0904,2.0028,1.9961,0.9861,0.9917
1064.00,"","","",180.6369,-9.2297,180.1428,-9.0904,2.0004,1.9933,0.9849,0.9903
1066.00,"","","",180.6269,-9.1798,180.1683,-9.1415,1.9985,1.9905,0.9840,0.9889
1068.00,"","","",180.6169,-9.0800,180.1581,-9.2947,1.9963,1.9879,0.9829,0.9875
1070.00,"","","",180.6219,-9.0301,180.1683,-9.4989,1.9943,1.9853,0.9819,0.9862
1072.00,"","","",180.6319,-8.9303,180.1734,-9.5500,1.9924,1.9831,0.9809,0.9851
1074.00,"","","",180.6369,-8.8305,180.1683,-9.5500,1.9906,1.9809,0.9801,0.9841
1076.00,"","","",180.6219,-8.6310,180.1683,-9.5500,1.9890,1.9786,0.9792,0.9829
1078.00,"","","",180.5870,-8.3316,180.1632,-9.4479,1.9874,1.9764,0.9784,0.9818
1080.00,"","","",180.5620,-7.8826,180.1428,-9.2947,1.9860,1.9746,0.9777,0.9809
1082.00,"","","",180.5521,-7.3837,180.1019,-9.0393,1.9842,1.9727,0.9769,0.9800
1084.00,"","","",180.5371,-6.7352,180.1172,-8.7840,1.9835,1.9709,0.9765,0.9791
1086.00,"","","",180.5271,-5.9868,180.1479,-8.5797,1.9832,1.9691,0.9764,0.9782
1088.00,"","","",180.5072,-5.0389,180.1581,-8.3243,1.9803,1.9673,0.9749,0.9773
1090.00,"","","",180.5072,-4.2905,180.1479,-8.0179,1.9771,1.9656,0.9733,0.9764
1092.00,"","","",180.5271,-3.7916,180.1326,-7.6604,1.9751,1.9639,0.9723,0.9756
1094.00,"","","",180.5670,-3.4424,180.1224,-7.1497,1.9742,1.9623,0.9718,0.9748
1096.00,"","","",180.5970,-3.1930,180.1121,-6.5369,1.9729,1.9608,0.9712,0.9740
1098.00,"","","",180.5770,-2.9435,180.0917,-5.8219,1.9713,1.9590,0.9704,0.9731
1100.00,"","","",180.5521,-2.6442,180.0968,-5.2602,1.9696,1.9576,0.9696,0.9724
1102.00,"","","",180.5321,-2.2451,180.0917,-4.7495,1.9683,1.9563,0.9689,0.9718
1104.00,"","","",180.5221,-1.7960,180.0815,-4.3409,1.9659,1.9548,0.9677,0.9710
1106.00,"","","",180.5371,-1.3969,180.0866,-3.9324,1.9662,1.9535,0.9678,0.9704
1108.00,"","","",180.5571,-1.0976,180.0917,-3.5749,1.9642,1.9520,0.9668,0.9696
1110.00,"","","",180.5521,-0.7484,180.1275,-3.2174,1.9639,1.9506,0.9667,0.9689
1112.00,"","","",180.5471,-0.3492,180.1326,-2.9110,1.9625,1.9494,0.9660,0.9683
1114.00,"","","",180.5521,0.0000,180.1121,-2.5535,1.9605,1.9479,0.9650,0.9676
1116.00,"","","",180.5770,0.3492,180.1019,-2.0939,1.9596,1.9467,0.9646,0.9670
