"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","Amp  (A) [µM]","Amp - slope  (A) [pmol/(s*ml)]","Amp  (B) [µM]","Amp - slope  (B) [pmol/(s*ml)]"
780.00,"LOff, C57, 3xTg","Both, Left, Right","Light off, , ",176.2060,0.9523,176.8100,-3.8395,-0.5173,0.0072,-0.4400,-0.0100
782.00,"","","",176.1960,1.0526,176.7995,-3.4187,-0.5176,0.0072,-0.4397,-0.0100
784.00,"","","",176.1860,1.1027,176.7942,-2.9453,-0.5171,0.0072,-0.4397,-0.0100
786.00,"","","",176.1760,1.1528,176.7995,-2.4720,-0.5171,0.0048,-0.4393,-0.0100
788.00,"","","",176.1760,1.2029,176.8205,-2.1038,-0.5166,0.0048,-0.4390,-0.0100
790.00,"","","",176.1709,1.2029,176.8205,-1.7882,-0.5161,0.0096,-0.4393,-0.0067
792.00,"","","",176.1760,1.2531,176.7942,-1.5253,-0.5164,0.0120,-0.4397,-0.0067
794.00,"","","",176.1709,1.2531,176.7995,-1.3675,-0.5161,0.0144,-0.4400,-0.0100
796.00,"","","",176.1709,1.2531,176.7942,-1.2623,-0.5159,0.0192,-0.4403,-0.0100
798.00,"","","",176.1559,1.2531,176.7627,-1.0519,-0.5169,0.0216,-0.4403,-0.0134
800.00,"","","",176.1509,1.2531,176.7732,-0.8941,-0.5164,0.0216,-0.4403,-0.0134
802.00,"","","",176.1559,1.2531,176.7837,-0.7889,-0.5164,0.0216,-0.4410,-0.0167
804.00,"","","",176.1810,1.2029,176.7679,-0.6311,-0.5164,0.0216,-0.4410,-0.0167
806.00,"","","",176.1760,1.1528,176.7416,-0.4208,-0.5166,0.0239,-0.4407,-0.0134
808.00,"","","",176.1709,1.0526,176.7416,-0.2630,-0.5161,0.0239,-0.4410,-0.0134
810.00,"","","",176.1509,1.0526,176.7364,-0.1052,-0.5166,0.0216,-0.4403,-0.0134
812.00,"","","",176.1359,1.0526,176.7206,0.1052,-0.5171,0.0192,-0.4403,-0.0100
814.00,"","","",176.1158,1.1528,176.7206,0.2630,-0.5171,0.0168,-0.4410,-0.0067
816.00,"","","",176.1008,1.2531,176.7469,0.4208,-0.5171,0.0144,-0.4410,-0.0067
818.00,"","","",176.1008,1.3032,176.7574,0.5260,-0.5173,0.0120,-0.4400,-0.0067
820.00,"","","",176.0958,1.4034,176.7416,0.6311,-0.5169,0.0120,-0.4387,-0.0033
822.00,"","","",176.1108,1.5037,176.7311,0.7889,-0.5181,0.0096,-0.4403,-0.0033
824.00,"","","",176.1158,1.6039,176.7416,0.8415,-0.5171,0.0096,-0.4397,-0.0033
826.00,"","","",176.1058,1.6540,176.7469,0.8941,-0.5169,0.0072,-0.4387,-0.0033
828.00,"","","",176.0908,1.7042,176.7416,0.9467,-0.5164,0.0072,-0.4387,0.0000
830.00,"","","",176.0857,1.8044,176.7258,0.9993,-0.5173,0.0072,-0.4393,0.0000
832.00,"","","",176.0908,1.8044,176.7153,1.0519,-0.5173,0.0048,-0.4400,0.0000
834.00,"","","",176.1208,1.8044,176.6995,1.1571,-0.5166,0.0048,-0.4397,0.0000
836.00,"","","",176.1208,1.7543,176.6785,1.2623,-0.5169,0.0072,-0.4390,0.0033
838.00,"","","",176.1008,1.8044,176.6417,1.4201,-0.5166,0.0072,-0.4393,0.0033
840.00,"","","",176.0908,1.8545,176.6259,1.6305,-0.5166,0.0072,-0.4397,0.0033
842.00,"","","",176.0857,1.8545,176.6259,1.7356,-0.5159,0.0096,-0.4403,0.0033
844.00,"","","",176.1008,1.9047,176.6364,1.8408,-0.5157,0.0096,-0.4403,0.0033
846.00,"","","",176.0958,1.9047,176.6575,1.9460,-0.5152,0.0120,-0.4390,0.0033
848.00,"","","",176.0757,1.8545,176.6732,2.0512,-0.5145,0.0144,-0.4390,0.0067
850.00,"","","",176.0757,1.8545,176.6732,2.1564,-0.5157,0.0144,-0.4397,0.0067
852.00,"","","",176.0707,1.8044,176.6785,2.2616,-0.5161,0.0144,-0.4393,0.0067
854.00,"","","",176.0507,1.8044,176.6785,2.2616,-0.5171,0.0120,-0.4400,0.0067
856.00,"","","",176.0356,1.8044,176.6680,2.2090,-0.5159,0.0120,-0.4400,0.0067
858.00,"","","",176.0356,1.8545,176.6838,2.2090,-0.5157,0.0120,-0.4387,0.0067
860.00,"","","",176.0456,1.8044,176.6732,2.1564,-0.5166,0.0096,-0.4407,0.0067
862.00,"","","",176.1960,1.5538,176.6312,2.2090,-0.5173,0.0072,-0.4410,0.0033
864.00,"","","",176.7474,0.2506,176.6154,2.2616,-0.5166,0.0048,-0.4403,0.0033
866.00,"","","",177.1734,-1.7042,176.6259,2.2616,-0.5169,0.0048,-0.4407,0.0033
868.00,"rot","Both","",177.4090,-4.0098,176.6364,2.2090,-0.5164,0.0048,-0.4403,0.0067
870.00,"","","",177.5343,-6.4658,176.7206,1.9986,-0.5164,0.0048,-0.4410,0.0033
872.00,"","","",177.5694,-8.8216,177.2045,0.8941,-0.5161,0.0048,-0.4393,0.0067
874.00,"","","",177.5794,-11.0771,177.7199,-1.1045,-0.5157,0.0072,-0.4397,0.0067
876.00,"","","",177.5994,-13.2324,178.0197,-3.5239,-0.5152,0.0120,-0.4400,0.0067
878.00,"","","",177.6345,-15.2874,178.1827,-6.1011,-0.5149,0.0144,-0.4400,0.0067
880.00,"","","",177.6596,-17.1921,178.2721,-8.7308,-0.5152,0.0168,-0.4403,0.0033
882.00,"","","",177.6496,-18.9965,178.3247,-11.3080,-0.5145,0.0192,-0.4397,0.0033
884.00,"","","",177.6395,-20.7006,178.3616,-13.7800,-0.5149,0.0216,-0.4413,-0.0033
886.00,"","","",177.6245,-22.2043,178.3721,-16.0942,-0.5147,0.0239,-0.4403,-0.0033
888.00,"","","",177.6095,-23.5576,178.3879,-18.2506,-0.5147,0.0287,-0.4397,-0.0067
890.00,"","","",177.6145,-24.7104,178.4141,-20.3018,-0.5142,0.0311,-0.4397,-0.0067
892.00,"","","",177.6446,-25.8131,178.4404,-22.2479,-0.5145,0.0311,-0.4400,-0.0067
894.00,"","","",177.6446,-26.6652,178.4404,-24.0361,-0.5147,0.0335,-0.4397,-0.0100
896.00,"","","",177.6245,-27.3669,178.4510,-25.6666,-0.5149,0.0335,-0.4397,-0.0100
898.00,"","","",177.6245,-27.9183,178.4878,-27.2970,-0.5147,0.0335,-0.4403,-0.0134
900.00,"","","",177.6195,-28.2692,178.4667,-28.6645,-0.5147,0.0335,-0.4400,-0.0100
902.00,"","","",177.6245,-28.5198,178.4457,-29.7690,-0.5147,0.0311,-0.4397,-0.0100
904.00,"","","",177.6295,-28.6701,178.4457,-30.7683,-0.5149,0.0311,-0.4393,-0.0100
906.00,"","","",177.6446,-28.6701,178.4562,-31.6624,-0.5145,0.0311,-0.4397,-0.0067
908.00,"","","",177.6546,-28.5198,178.4404,-32.3462,-0.5142,0.0311,-0.4400,-0.0033
910.00,"","","",177.6395,-28.2190,178.4457,-32.8195,-0.5142,0.0311,-0.4400,-0.0033
912.00,"","","",177.6395,-27.7679,178.4667,-33.1877,-0.5145,0.0287,-0.4403,-0.0033
914.00,"","","",177.6446,-27.2166,178.4773,-33.3455,-0.5145,0.0287,-0.4403,-0.0033
916.00,"","","",177.6496,-26.5149,178.4562,-33.2929,-0.5145,0.0287,-0.4400,-0.0033
918.00,"","","",177.6646,-25.7129,178.4615,-32.9773,-0.5149,0.0263,-0.4400,-0.0033
920.00,"","","",177.6496,-24.6603,178.4667,-32.5040,-0.5152,0.0239,-0.4407,-0.0033
922.00,"","","",177.6546,-23.5075,178.4878,-31.8728,-0.5149,0.0239,-0.4400,-0.0033
924.00,"","","",177.6496,-22.2043,178.5141,-31.1365,-0.5149,0.0239,-0.4400,-0.0033
926.00,"","","",177.6446,-20.7508,178.4983,-30.2424,-0.5149,0.0239,-0.4403,-0.0033
928.00,"","","",177.6546,-19.0967,178.4615,-29.1379,-0.5149,0.0263,-0.4400,0.0000
930.00,"","","",177.6546,-17.3424,178.4562,-27.8756,-0.5149,0.0263,-0.4400,0.0000
932.00,"","","",177.6746,-15.4378,178.4667,-26.4555,-0.5149,0.0263,-0.4400,0.0000
934.00,"","","",177.6847,-13.3827,178.4773,-24.8776,-0.5145,0.0239,-0.4400,0.0000
936.00,"","","",177.6696,-11.0771,178.4720,-23.1420,-0.5142,0.0239,-0.4403,0.0000
938.00,"","","",177.6496,-8.6211,178.4667,-21.1960,-0.5145,0.0239,-0.4407,0.0033
940.00,"","","",177.6546,-6.0147,178.4615,-19.0921,-0.5149,0.0216,-0.4407,0.0000
942.00,"","","",177.6796,-3.6088,178.4562,-16.7253,-0.5145,0.0168,-0.4407,-0.0033
944.00,"","","",177.6796,-2.1553,178.4615,-14.1482,-0.5145,0.0144,-0.4407,-0.0033
946.00,"","","",177.6796,-1.4034,178.4773,-11.4658,-0.5145,0.0120,-0.4410,-0.0067
948.00,"","","",177.6546,-1.0025,178.4930,-8.6782,-0.5145,0.0096,-0.4413,-0.0100
950.00,"","","",177.6345,-0.8020,178.5246,-5.8907,-0.5149,0.0072,-0.4410,-0.0100
952.00,"","","",177.6045,-0.5513,178.5351,-3.8921,-0.5145,0.0048,-0.4413,-0.0134
954.00,"","","",177.5844,-0.3509,178.4983,-2.7350,-0.5147,0.0024,-0.4413,-0.0134
956.00,"","","",177.5944,-0.1504,178.4878,-2.0512,-0.5149,0.0000,-0.4410,-0.0134
958.00,"","","",177.6245,-0.1002,178.4773,-1.5779,-0.5145,0.0000,-0.4410,-0.0134
960.00,"","","",177.6245,-0.1002,178.4720,-1.2623,-0.5142,0.0000,-0.4403,-0.0167
962.00,"","","",177.6496,-0.1504,178.4930,-1.0519,-0.5138,0.0024,-0.4400,-0.0134
964.00,"","","",177.6746,-0.2005,178.4983,-0.9467,-0.5135,0.0048,-0.4393,-0.0134
966.00,"","","",177.6847,-0.2506,178.5088,-0.8415,-0.5133,0.0072,-0.4393,-0.0134
968.00,"","","",177.6596,-0.2005,178.4930,-0.7363,-0.5133,0.0072,-0.4397,-0.0100
970.00,"","","",177.6345,-0.1002,178.4720,-0.6311,-0.5133,0.0120,-0.4397,-0.0067
972.00,"","","",177.6446,-0.1002,178.4720,-0.5260,-0.5133,0.0144,-0.4397,-0.0067
974.00,"","","",177.6596,-0.1504,178.4404,-0.4208,-0.5135,0.0144,-0.4393,-0.0033
976.00,"","","",177.6646,-0.1002,178.4299,-0.2630,-0.5135,0.0168,-0.4407,-0.0033
978.00,"","","",177.6897,-0.1504,178.4615,-0.2630,-0.5133,0.0168,-0.4397,-0.0033
980.00,"","","",177.6796,-0.1504,178.5088,-0.3156,-0.5138,0.0168,-0.4390,0.0000
982.00,"","","",177.6746,-0.1504,178.5088,-0.3156,-0.5138,0.0192,-0.4393,0.0033
984.00,"","","",177.6646,-0.1002,178.4825,-0.3156,-0.5142,0.0168,-0.4390,0.0067
986.00,"","","",177.6546,-0.1002,178.5036,-0.3156,-0.5142,0.0168,-0.4387,0.0100
988.00,"","","",177.6496,-0.1002,178.5088,-0.2630,-0.5140,0.0168,-0.4390,0.0134
990.00,"","","",177.6646,-0.1002,178.4983,-0.2630,-0.5147,0.0168,-0.4390,0.0167
992.00,"","","",177.6696,-0.1002,178.4773,-0.2104,-0.5135,0.0192,-0.4383,0.0167
994.00,"","","",177.6696,-0.1002,178.4667,-0.1578,-0.5114,0.0239,-0.4393,0.0201
996.00,"","","",177.6947,-0.1504,178.4615,-0.1052,-0.5078,0.0335,-0.4400,0.0201
998.00,"","","",177.8350,-0.5012,178.4457,0.0000,-0.5075,0.0455,-0.4400,0.0201
1000.00,"","","",177.9653,-1.0526,178.4510,0.1052,-0.5085,0.0527,-0.4400,0.0167
1002.00,"","","",178.0355,-1.7042,178.4510,0.1052,-0.5082,0.0599,-0.4393,0.0201
1004.00,"","","",178.0756,-2.3558,178.4247,0.1578,-0.5087,0.0647,-0.4403,0.0201
1006.00,"AR","Both","",178.0957,-3.0074,178.4036,0.2630,-0.5080,0.0718,-0.4397,0.0201
1008.00,"","","",178.0906,-3.6590,178.4615,0.3156,-0.5090,0.0766,-0.4357,0.0268
1010.00,"","","",178.0806,-4.2103,178.6035,0.1052,-0.5080,0.0814,-0.4336,0.0368
1012.00,"","","",178.0856,-4.8118,178.6876,-0.2630,-0.5080,0.0862,-0.4343,0.0468
1014.00,"","","",178.1157,-5.4132,178.7613,-0.7363,-0.5075,0.0934,-0.4343,0.0569
1016.00,"","","",178.1107,-5.9646,178.8139,-1.3149,-0.5070,0.1006,-0.4343,0.0636
1018.00,"","","",178.1107,-6.4157,178.8244,-1.8408,-0.5073,0.1054,-0.4343,0.0703
1020.00,"","","",178.1107,-6.8167,178.8244,-2.3142,-0.5075,0.1078,-0.4340,0.0770
1022.00,"","","",178.1307,-7.2678,178.8244,-2.7350,-0.5075,0.1101,-0.4333,0.0837
1024.00,"","","",178.1307,-7.7189,178.8297,-3.1557,-0.5070,0.1149,-0.4336,0.0903
1026.00,"","","",178.1207,-8.0697,178.8454,-3.6291,-0.5070,0.1173,-0.4340,0.0937
1028.00,"","","",178.1257,-8.3204,178.8454,-4.0498,-0.5068,0.1197,-0.4336,0.0970
1030.00,"","","",178.1408,-8.5710,178.8402,-4.5232,-0.5068,0.1221,-0.4343,0.0970
