"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","TMRM  (A) [µM]","TMRM  (B) [µM]","mtMPrel (A)  [au]","mtMPrel  (B)  [au]"
600.00,"LOff, Control, 3XTg","Both, Left, Right","Light off, , ",178.3286,-4.1005,179.5958,-5.0957,0.0116,-0.0115,-0.0011,-0.0011
602.00,"","","",178.3484,-3.9523,179.5804,-4.8384,0.0117,-0.0116,-0.0010,-0.0011
604.00,"","","",178.3583,-3.8535,179.5804,-4.6325,0.0117,-0.0116,-0.0010,-0.0011
606.00,"","","",178.3978,-3.8535,179.5701,-4.4781,0.0118,-0.0116,-0.0010,-0.0011
608.00,"","","",178.4274,-3.9029,179.5598,-4.2207,0.0117,-0.0115,-0.0010,-0.0011
610.00,"","","",178.3879,-3.8041,179.5804,-3.9633,0.0118,-0.0113,-0.0010,-0.0010
612.00,"","","",178.3731,-3.7053,179.6164,-3.7575,0.0120,-0.0113,-0.0009,-0.0010
614.00,"","","",178.3780,-3.5571,179.6216,-3.6545,0.0119,-0.0114,-0.0009,-0.0010
616.00,"","","",178.3929,-3.4583,179.6422,-3.6545,0.0120,-0.0114,-0.0009,-0.0011
618.00,"","","",178.4027,-3.3595,179.6525,-3.5516,0.0120,-0.0114,-0.0009,-0.0010
620.00,"","","",178.4027,-3.2607,179.6422,-3.4486,0.0123,-0.0113,-0.0007,-0.0010
622.00,"","","",178.4176,-3.2113,179.6422,-3.2942,0.0120,-0.0111,-0.0008,-0.0009
624.00,"","","",178.4324,-3.1619,179.6370,-3.1398,0.0121,-0.0110,-0.0008,-0.0008
626.00,"","","",178.4176,-3.1125,179.6422,-2.9854,0.0121,-0.0112,-0.0008,-0.0009
628.00,"","","",178.4027,-3.0630,179.6525,-2.8824,0.0120,-0.0112,-0.0008,-0.0009
630.00,"","","",178.4126,-3.0630,179.6576,-2.7280,0.0125,-0.0112,-0.0006,-0.0010
632.00,"","","",178.4274,-3.0630,179.6370,-2.5736,0.0124,-0.0111,-0.0007,-0.0009
634.00,"","","",178.4373,-3.0136,179.6319,-2.3677,0.0123,-0.0109,-0.0007,-0.0008
636.00,"","","",178.4423,-2.9148,179.6267,-2.2133,0.0123,-0.0110,-0.0007,-0.0008
638.00,"","","",178.4274,-2.8654,179.6319,-2.0589,0.0120,-0.0111,-0.0008,-0.0009
640.00,"","","",178.4324,-2.7666,179.6473,-1.9559,0.0122,-0.0111,-0.0007,-0.0009
642.00,"","","",178.4472,-2.6678,179.6679,-1.8530,0.0124,-0.0108,-0.0007,-0.0008
644.00,"","","",178.4472,-2.5690,179.7039,-1.8015,0.0125,-0.0107,-0.0006,-0.0007
646.00,"","","",178.4324,-2.3714,179.7400,-1.8530,0.0124,-0.0108,-0.0007,-0.0007
648.00,"","","",178.4176,-2.2232,179.7194,-1.8530,0.0128,-0.0106,-0.0005,-0.0007
650.00,"","","",178.4077,-2.0750,179.6936,-1.8015,0.0127,-0.0109,-0.0005,-0.0008
652.00,"","","",178.4077,-1.9268,179.7039,-1.7500,0.0127,-0.0108,-0.0005,-0.0008
654.00,"","","",178.4225,-1.7785,179.6988,-1.7500,0.0124,-0.0108,-0.0007,-0.0008
656.00,"","","",178.4373,-1.6797,179.6782,-1.6471,0.0126,-0.0107,-0.0006,-0.0007
658.00,"","","",178.4521,-1.6303,179.6730,-1.6471,0.0129,-0.0106,-0.0004,-0.0007
660.00,"","","",178.4571,-1.5315,179.6885,-1.6471,0.0125,-0.0106,-0.0006,-0.0006
662.00,"","","",178.4670,-1.4821,179.7091,-1.7500,0.0125,-0.0105,-0.0006,-0.0006
664.00,"","","",178.4768,-1.4821,179.7142,-1.8530,0.0125,-0.0103,-0.0006,-0.0005
666.00,"","","",178.4917,-1.4821,179.7091,-1.9045,0.0126,-0.0103,-0.0006,-0.0005
668.00,"","","",178.5065,-1.5315,179.7142,-1.9045,0.0124,-0.0105,-0.0007,-0.0006
670.00,"","","",178.4917,-1.5809,179.7194,-1.9045,0.0125,-0.0103,-0.0006,-0.0005
