"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","Amp  (A) [µM]","Amp - slope  (A) [pmol/(s*ml)]","Amp  (B) [µM]","Amp - slope  (B) [pmol/(s*ml)]"
840.00,"LOff, C 57, 3xTg","Both, Left, Right","Light off, , ",177.3714,1.5580,176.4331,2.6127,-0.5252,0.0073,-0.6003,0.0066
842.00,"","","",177.3865,1.5580,176.4070,2.8217,-0.5253,0.0073,-0.6005,0.0053
844.00,"","","",177.3714,1.6083,176.3965,3.0307,-0.5253,0.0082,-0.6005,0.0053
846.00,"","","",177.3463,1.6586,176.3756,3.1874,-0.5252,0.0082,-0.6005,0.0040
848.00,"","","",177.3362,1.7088,176.3704,3.3965,-0.5252,0.0082,-0.6008,0.0027
850.00,"","","",177.3312,1.8093,176.3704,3.5532,-0.5254,0.0082,-0.6004,0.0027
852.00,"","","",177.3362,1.9099,176.3809,3.6577,-0.5256,0.0073,-0.6004,0.0013
854.00,"","","",177.3412,1.9601,176.3965,3.7100,-0.5256,0.0065,-0.6007,0.0013
856.00,"","","",177.3211,2.0606,176.4174,3.7622,-0.5255,0.0057,-0.6005,0.0013
858.00,"","","",177.3211,2.1612,176.4174,3.7100,-0.5255,0.0049,-0.6003,0.0013
860.00,"","","",177.3161,2.2617,176.3965,3.7100,-0.5256,0.0041,-0.6005,0.0013
862.00,"","","",177.2859,2.3622,176.3652,3.7622,-0.5257,0.0033,-0.6005,0.0013
864.00,"","","",177.2709,2.4627,176.3391,3.8667,-0.5258,0.0016,-0.6005,0.0013
866.00,"","","",177.2608,2.5632,176.3391,3.9190,-0.5259,0.0008,-0.6003,0.0013
868.00,"","","",177.2457,2.6638,176.3652,3.8145,-0.5258,0.0000,-0.6004,0.0000
870.00,"","","",177.2256,2.8145,176.3600,3.7622,-0.5257,-0.0008,-0.6001,0.0013
872.00,"","","",177.2407,2.9653,176.3338,3.7100,-0.5257,-0.0016,-0.6003,0.0000
874.00,"","","",177.2709,3.0156,176.3182,3.6577,-0.5257,-0.0024,-0.6001,0.0000
876.00,"","","",177.2759,2.9653,176.3077,3.6577,-0.5257,-0.0033,-0.6004,0.0000
