"Time [min]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","Amp - Raw  (A) [V]","Amp - slope  (A) [pmol/(s*ml)]","Amp - Raw  (B) [V]","Amp - slope  (B) [pmol/(s*ml)]"
9.00,"LOff, c57, 3xTg","Both, Left, Right","Light off, , ",178.5043,-12.8474,179.4272,-16.6292,0.2763,-0.0070,0.3232,-0.0020
9.03,"","","",178.5478,-12.7603,179.4316,-16.4965,0.2765,-0.0060,0.3231,-0.0020
9.07,"","","",178.5696,-12.6296,179.4537,-16.4081,0.2766,-0.0040,0.3232,-0.0020
9.10,"","","",178.6088,-12.5861,179.4714,-16.2754,0.2767,-0.0020,0.3232,-0.0010
9.13,"","","",178.6349,-12.5425,179.5112,-16.1427,0.2765,-0.0010,0.3234,0.0000
9.17,"","","",178.6480,-12.4990,179.5555,-15.9658,0.2760,-0.0010,0.3228,-0.0010
9.20,"","","",178.6741,-12.4119,179.6041,-15.8773,0.2765,0.0000,0.3230,-0.0010
9.23,"","","",178.6915,-12.3248,179.6306,-15.8331,0.2752,-0.0020,0.3227,-0.0010
9.27,"","","",178.7264,-12.2377,179.6572,-15.7447,0.2774,0.0000,0.3235,0.0000
9.30,"","","",178.7656,-12.1506,179.6660,-15.5678,0.2766,0.0000,0.3231,0.0000
9.33,"","","",178.7307,-11.9328,179.6793,-15.3466,0.2761,0.0000,0.3228,0.0000
9.37,"","","",178.7438,-11.7586,179.6837,-15.1697,0.2762,0.0000,0.3230,0.0000
9.40,"","","",178.7830,-11.6715,179.7102,-14.9486,0.2762,0.0000,0.3228,0.0000
9.43,"","","",178.8439,-11.6279,179.7368,-14.7717,0.2761,0.0010,0.3228,0.0000
9.47,"","","",178.8614,-11.5844,179.7589,-14.5948,0.2762,0.0010,0.3230,0.0000
9.50,"","","",178.8439,-11.4537,179.7899,-14.4179,0.2759,0.0000,0.3232,0.0010
9.53,"","","",178.8527,-11.4102,179.8164,-14.1967,0.2759,-0.0010,0.3227,0.0000
9.57,"","","",178.9006,-11.4102,179.8429,-14.0198,0.2761,-0.0010,0.3225,-0.0010
9.60,"","","",178.9572,-11.4537,179.8827,-13.8429,0.2761,-0.0010,0.3228,-0.0010
9.63,"","","",178.9877,-11.5408,179.9270,-13.7102,0.2762,-0.0010,0.3228,-0.0020
9.67,"","","",178.9877,-11.5844,179.9402,-13.5776,0.2758,-0.0010,0.3229,-0.0010
9.70,"","","",179.0007,-11.6279,179.9756,-13.4449,0.2758,-0.0010,0.3230,-0.0010
9.73,"","","",179.0138,-11.6279,180.0198,-13.4007,0.2758,-0.0020,0.3230,-0.0010
9.77,"","","",179.0138,-11.5408,180.0508,-13.3564,0.2761,-0.0020,0.3232,0.0000
9.80,"","","",179.0617,-11.3666,180.0641,-13.2680,0.2760,-0.0020,0.3230,-0.0010
9.83,"","","",179.0748,-11.2795,180.0729,-13.2680,0.2758,-0.0030,0.3229,-0.0010
9.87,"","","",179.0748,-11.1489,180.0994,-13.2237,0.2759,-0.0030,0.3232,-0.0010
9.90,"","","",179.0922,-11.0182,180.1304,-13.2237,0.2759,-0.0040,0.3229,-0.0010
9.93,"","","",179.1140,-10.9747,180.1481,-13.1795,0.2758,-0.0050,0.3227,-0.0010
9.97,"","","",179.1140,-10.8440,180.1569,-13.1353,0.2758,-0.0060,0.3229,-0.0010
10.00,"","","",179.1227,-10.7569,180.1923,-13.1353,0.2755,-0.0080,0.3229,-0.0020
10.03,"","","",179.1227,-10.6263,180.2189,-13.0911,0.2760,-0.0080,0.3243,0.0000
10.07,"","","",179.1444,-10.5392,180.2277,-13.0468,0.2763,-0.0070,0.3229,-0.0010
10.10,"","","",179.1662,-10.4085,180.2365,-12.9584,0.2763,-0.0070,0.3228,-0.0010
10.13,"","","",179.1619,-10.1908,180.2498,-12.8257,0.2760,-0.0070,0.3227,-0.0010
10.17,"","","",179.2011,-10.0166,180.2675,-12.7373,0.2756,-0.0080,0.3231,-0.0010
10.20,"","","",179.2185,-9.8424,180.2896,-12.6488,0.2755,-0.0090,0.3232,0.0000
10.23,"","","",179.2228,-9.7553,180.3029,-12.5161,0.2761,-0.0080,0.3232,0.0000
10.27,"","","",179.2359,-9.5811,180.2940,-12.3392,0.2765,-0.0070,0.3233,0.0000
10.30,"","","",179.2533,-9.3198,180.3073,-12.1623,0.2764,-0.0070,0.3230,0.0000
10.33,"","","",179.2620,-9.1020,180.3294,-11.9854,0.2761,-0.0060,0.3233,0.0010
10.37,"","","",179.2751,-8.9278,180.3427,-11.7643,0.2761,-0.0050,0.3233,0.0020
10.40,"","","",179.2751,-8.7101,180.3781,-11.5874,0.2761,-0.0040,0.3233,0.0030
10.43,"","","",179.2664,-8.4923,180.4179,-11.4105,0.2762,-0.0030,0.3234,0.0040
10.47,"","","",179.3186,-8.3617,180.4356,-11.2335,0.2759,-0.0020,0.3236,0.0060
10.50,"","","",179.3317,-8.2310,180.4533,-11.1009,0.2761,-0.0020,0.3236,0.0060
10.53,"","","",179.3578,-8.1004,180.4533,-10.9682,0.2764,-0.0010,0.3232,0.0060
10.57,"","","",179.3665,-7.9697,180.4444,-10.8355,0.2761,-0.0020,0.3233,0.0060
10.60,"","","",179.3753,-7.8826,180.4798,-10.7028,0.2762,0.0000,0.3233,0.0070
10.63,"","","",179.3796,-7.7955,180.5196,-10.5702,0.2761,0.0010,0.3233,0.0080
10.67,"","","",179.3665,-7.5778,180.5461,-10.4817,0.2760,0.0020,0.3235,0.0080
10.70,"","","",179.3927,-7.3600,180.5638,-10.3048,0.2761,0.0020,0.3233,0.0080
10.73,"","","",179.4188,-7.1858,180.5638,-10.1279,0.2759,0.0020,0.3231,0.0080
10.77,"","","",179.4493,-7.1423,180.5727,-9.9068,0.2760,0.0020,0.3233,0.0070
10.80,"","","",179.4449,-7.0552,180.5859,-9.6856,0.2762,0.0030,0.3233,0.0070
10.83,"","","",179.4841,-6.9681,180.5859,-9.4645,0.2763,0.0030,0.3234,0.0080
