"Time [min]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","Amp - Raw  (A) [V]","Amp - slope  (A) [pmol/(s*ml)]","Amp - Raw  (B) [V]","Amp - slope  (B) [pmol/(s*ml)]"
12.00,"LOff, 3xTg, ctrl","Both, Left, Right","Light off, , ",177.8439,-12.7773,177.7929,-13.3495,0.2775,-0.0040,0.3229,-0.0090
12.03,"","","",177.8831,-12.6035,177.8147,-13.3495,0.2773,-0.0040,0.3228,-0.0090
12.07,"","","",177.9091,-12.5166,177.8366,-13.3495,0.2772,-0.0040,0.3231,-0.0080
12.10,"","","",177.9439,-12.5166,177.8804,-13.3932,0.2774,-0.0030,0.3232,-0.0080
12.13,"","","",177.9482,-12.5166,177.9067,-13.4370,0.2774,-0.0030,0.3232,-0.0070
12.17,"","","",177.9309,-12.3427,177.9329,-13.5245,0.2775,-0.0020,0.3231,-0.0060
12.20,"","","",177.9569,-12.2123,177.9636,-13.5245,0.2776,-0.0010,0.3233,-0.0050
12.23,"","","",177.9656,-11.9950,177.9679,-13.5245,0.2774,-0.0020,0.3232,-0.0040
12.27,"","","",177.9526,-11.6908,177.9854,-13.4808,0.2774,-0.0010,0.3232,-0.0040
12.30,"","","",177.9917,-11.4301,178.0117,-13.3932,0.2772,-0.0010,0.3230,-0.0040
12.33,"","","",178.0482,-11.2128,178.0336,-13.3495,0.2778,0.0010,0.3236,-0.0030
12.37,"","","",178.0569,-11.0824,178.0555,-13.3057,0.2771,0.0000,0.3228,-0.0040
12.40,"","","",178.0526,-10.9955,178.0817,-13.2181,0.2771,-0.0010,0.3230,-0.0050
12.43,"","","",178.0960,-10.9520,178.1080,-13.1744,0.2774,-0.0010,0.3231,-0.0060
12.47,"","","",178.1221,-10.8651,178.1299,-13.0868,0.2774,-0.0020,0.3234,-0.0050
12.50,"","","",178.1438,-10.8651,178.1430,-12.9555,0.2774,-0.0010,0.3230,-0.0050
12.53,"","","",178.1742,-10.8216,178.1561,-12.7805,0.2771,-0.0010,0.3227,-0.0060
12.57,"","","",178.1786,-10.8216,178.1780,-12.6054,0.2770,-0.0020,0.3228,-0.0060
12.60,"","","",178.2134,-10.8651,178.1912,-12.4303,0.2770,-0.0040,0.3229,-0.0070
12.63,"","","",178.2481,-10.8216,178.2043,-12.2990,0.2771,-0.0040,0.3229,-0.0070
12.67,"","","",178.2438,-10.6912,178.2481,-12.2115,0.2770,-0.0050,0.3231,-0.0070
12.70,"","","",178.2699,-10.6043,178.2743,-12.1239,0.2769,-0.0060,0.3229,-0.0070
12.73,"","","",178.2916,-10.5174,178.2962,-11.9926,0.2768,-0.0070,0.3231,-0.0060
12.77,"","","",178.3003,-10.4305,178.3006,-11.8613,0.2770,-0.0060,0.3229,-0.0060
12.80,"","","",178.3220,-10.3436,178.3137,-11.6862,0.2772,-0.0060,0.3232,-0.0050
12.83,"","","",178.3785,-10.2566,178.3225,-11.4674,0.2771,-0.0060,0.3229,-0.0050
12.87,"","","",178.3872,-10.2132,178.3356,-11.3361,0.2772,-0.0060,0.3230,-0.0050
12.90,"","","",178.4046,-10.2132,178.3662,-11.1610,0.2773,-0.0050,0.3229,-0.0050
12.93,"","","",178.4220,-10.2566,178.4056,-11.0735,0.2772,-0.0050,0.3229,-0.0040
12.97,"","","",178.4654,-10.3870,178.4363,-10.9859,0.2771,-0.0050,0.3228,-0.0040
13.00,"","","",178.5045,-10.5609,178.4406,-10.8984,0.2771,-0.0050,0.3229,-0.0040
13.03,"","","",178.4785,-10.6043,178.4450,-10.7671,0.2769,-0.0050,0.3228,-0.0030
13.07,"","","",178.4611,-10.4739,178.4669,-10.6796,0.2771,-0.0050,0.3226,-0.0040
13.10,"","","",178.4698,-10.3001,178.4800,-10.5483,0.2771,-0.0050,0.3227,-0.0040
13.13,"","","",178.4785,-10.1697,178.4975,-10.4607,0.2770,-0.0050,0.3228,-0.0040
13.17,"","","",178.5045,-10.0393,178.5194,-10.3732,0.2769,-0.0050,0.3226,-0.0050
13.20,"","","",178.5393,-9.9959,178.5194,-10.1981,0.2767,-0.0060,0.3225,-0.0050
13.23,"","","",178.4915,-9.8220,178.5282,-10.1106,0.2768,-0.0070,0.3225,-0.0060
13.27,"","","",178.5002,-9.6482,178.5413,-9.9793,0.2767,-0.0080,0.3226,-0.0060
13.30,"","","",178.5567,-9.4743,178.5413,-9.8042,0.2767,-0.0080,0.3227,-0.0070
13.33,"","","",178.5741,-9.3874,178.5501,-9.5853,0.2769,-0.0080,0.3230,-0.0070
13.37,"","","",178.5784,-9.3005,178.5588,-9.3665,0.2769,-0.0080,0.3229,-0.0070
13.40,"","","",178.5741,-9.1701,178.5676,-9.1477,0.2767,-0.0090,0.3226,-0.0080
13.43,"","","",178.6132,-9.1267,178.5719,-8.9726,0.2768,-0.0090,0.3225,-0.0080
13.47,"","","",178.6132,-9.0397,178.5982,-8.7975,0.2766,-0.0090,0.3227,-0.0080
13.50,"","","",178.6393,-8.9094,178.6113,-8.6224,0.2769,-0.0090,0.3228,-0.0070
13.53,"","","",178.6914,-8.8224,178.6376,-8.4911,0.2771,-0.0070,0.3226,-0.0070
13.57,"","","",178.7088,-8.7355,178.6551,-8.3598,0.2771,-0.0070,0.3228,-0.0070
13.60,"","","",178.7001,-8.5617,178.6770,-8.2285,0.2772,-0.0060,0.3230,-0.0060
13.63,"","","",178.6827,-8.3444,178.6945,-8.0972,0.2772,-0.0050,0.3230,-0.0050
13.67,"","","",178.6827,-8.1705,178.6945,-7.9659,0.2771,-0.0040,0.3227,-0.0040
13.70,"","","",178.7001,-7.9532,178.7208,-7.8784,0.2771,-0.0030,0.3225,-0.0050
13.73,"","","",178.6784,-7.6925,178.7470,-7.7908,0.2774,-0.0020,0.3226,-0.0050
13.77,"","","",178.6523,-7.3448,178.7689,-7.7471,0.2778,0.0000,0.3227,-0.0050
13.80,"","","",178.6697,-7.0840,178.7558,-7.6595,0.2778,0.0020,0.3229,-0.0030
13.83,"","","",178.6958,-6.8233,178.7470,-7.5282,0.2779,0.0040,0.3226,-0.0030
13.87,"","","",178.7218,-6.6060,178.7733,-7.3969,0.2778,0.0050,0.3226,-0.0040
