"Time [min]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","TMRM  (A) [µM]","TMRM  (B) [µM]","mtMPrel (A)  [au]","mtMPrel  (B)  [au]"
6.00,"LOff, Cort hom, Cort mito","Both, Left, Right","Light off, , ",177.2541,11.9686,177.4894,-4.7092,0.0036,-0.0408,-0.0004,-0.0009
6.03,"","","",177.2450,12.2427,177.4173,-4.1326,0.0037,-0.0406,-0.0004,-0.0008
6.07,"","","",177.2724,12.4254,177.3597,-3.4118,0.0036,-0.0406,-0.0004,-0.0007
6.10,"","","",177.2770,12.5625,177.3452,-2.6429,0.0036,-0.0405,-0.0004,-0.0007
6.13,"","","",177.2633,12.6995,177.3308,-1.8741,0.0036,-0.0405,-0.0004,-0.0007
6.17,"","","",177.2724,12.6995,177.2924,-1.0091,0.0036,-0.0405,-0.0004,-0.0007
6.20,"","","",177.2633,12.6081,177.2539,-0.0961,0.0035,-0.0405,-0.0005,-0.0007
6.23,"","","",177.2267,12.5168,177.2636,0.7208,0.0036,-0.0405,-0.0005,-0.0007
6.27,"","","",177.2359,12.2884,177.2828,1.5377,0.0036,-0.0404,-0.0004,-0.0006
6.30,"","","",177.2724,11.8772,177.3164,2.2585,0.0036,-0.0404,-0.0005,-0.0006
6.33,"","","",177.2861,11.4204,177.2972,3.0754,0.0037,-0.0405,-0.0004,-0.0007
6.37,"","","",177.2496,10.8722,177.2347,3.8923,0.0036,-0.0404,-0.0004,-0.0007
6.40,"","","",177.2678,10.2327,177.1915,4.8053,0.0037,-0.0405,-0.0004,-0.0007
6.43,"","","",177.2724,9.4561,177.1867,5.6703,0.0037,-0.0405,-0.0004,-0.0007
6.47,"","","",177.2953,8.6338,177.1819,6.4391,0.0034,-0.0404,-0.0006,-0.0006
6.50,"","","",177.3181,7.6288,177.1771,7.1119,0.0035,-0.0403,-0.0005,-0.0006
6.53,"","","",177.2861,6.5325,177.1867,7.7846,0.0035,-0.0403,-0.0005,-0.0006
6.57,"","","",177.2770,5.8929,177.1771,8.4093,0.0035,-0.0402,-0.0005,-0.0005
6.60,"","","",177.2815,5.1164,177.1675,8.9860,0.0037,-0.0402,-0.0004,-0.0006
6.63,"","","",177.2815,4.3398,177.1819,9.5145,0.0036,-0.0401,-0.0004,-0.0005
6.67,"","","",177.2770,3.6545,177.1723,10.0431,0.0038,-0.0402,-0.0004,-0.0006
6.70,"","","",177.2633,3.0607,177.1723,10.4276,0.0037,-0.0402,-0.0004,-0.0006
6.73,"","","",177.2404,2.6039,177.1626,10.7159,0.0037,-0.0401,-0.0004,-0.0005
6.77,"","","",177.2496,2.2384,177.1578,10.9081,0.0037,-0.0401,-0.0004,-0.0005
6.80,"","","",177.2633,1.9643,177.1723,11.1003,0.0037,-0.0401,-0.0004,-0.0005
6.83,"","","",177.2724,1.6445,177.1963,11.1483,0.0037,-0.0401,-0.0004,-0.0005
6.87,"","","",177.2998,1.3248,177.2059,11.1003,0.0037,-0.0400,-0.0004,-0.0005
6.90,"","","",177.3181,1.0050,177.2107,11.0042,0.0037,-0.0399,-0.0004,-0.0004
6.93,"","","",177.3044,0.7766,177.2395,10.6678,0.0038,-0.0400,-0.0004,-0.0005
6.97,"","","",177.2907,0.5939,177.2491,10.1392,0.0037,-0.0399,-0.0004,-0.0004
7.00,"","","",177.2953,0.3655,177.2251,9.5626,0.0035,-0.0399,-0.0005,-0.0004
7.03,"","","",177.2998,0.1370,177.2155,8.7937,0.0036,-0.0399,-0.0004,-0.0004
7.07,"","","",177.3181,-0.0914,177.2395,7.8807,0.0038,-0.0399,-0.0004,-0.0004
7.10,"","","",177.3364,-0.3198,177.2443,6.8716,0.0038,-0.0398,-0.0004,-0.0003
7.13,"","","",177.3318,-0.5482,177.2588,5.8144,0.0039,-0.0399,-0.0003,-0.0004
7.17,"","","",177.3090,-0.6852,177.3116,4.5651,0.0038,-0.0398,-0.0004,-0.0003
7.20,"","","",177.3044,-0.6852,177.3356,3.1715,0.0038,-0.0399,-0.0004,-0.0004
7.23,"","","",177.3409,-0.7309,177.3116,2.3066,0.0038,-0.0398,-0.0004,-0.0003
7.27,"","","",177.3592,-0.8680,177.3068,1.5858,0.0037,-0.0399,-0.0004,-0.0004
7.30,"","","",177.3820,-1.0507,177.2876,0.9611,0.0036,-0.0399,-0.0004,-0.0004
7.33,"","","",177.3958,-1.1877,177.2972,0.3844,0.0037,-0.0399,-0.0004,-0.0004
7.37,"","","",177.4140,-1.3248,177.3356,-0.0961,0.0037,-0.0397,-0.0004,-0.0003
7.40,"","","",177.3958,-1.5075,177.3452,-0.4805,0.0038,-0.0398,-0.0003,-0.0003
7.43,"","","",177.3592,-1.5532,177.3068,-0.8169,0.0038,-0.0397,-0.0004,-0.0003
7.47,"","","",177.3683,-1.6445,177.2684,-1.0091,0.0037,-0.0398,-0.0004,-0.0003
7.50,"","","",177.3455,-1.6445,177.2539,-1.1533,0.0037,-0.0397,-0.0004,-0.0003
7.53,"","","",177.3135,-1.5989,177.2588,-1.2013,0.0037,-0.0398,-0.0004,-0.0003
7.57,"","","",177.3546,-1.5075,177.2828,-1.3455,0.0038,-0.0399,-0.0004,-0.0004
7.60,"","","",177.3775,-1.5075,177.2684,-1.4897,0.0037,-0.0398,-0.0004,-0.0003
7.63,"","","",177.3866,-1.5532,177.2395,-1.6338,0.0039,-0.0399,-0.0003,-0.0004
7.67,"","","",177.3958,-1.6902,177.2588,-1.7780,0.0039,-0.0399,-0.0003,-0.0004
7.70,"","","",177.4140,-1.7359,177.3164,-1.9221,0.0039,-0.0398,-0.0003,-0.0003
7.73,"","","",177.4186,-1.7816,177.3597,-2.0663,0.0038,-0.0396,-0.0003,-0.0003
7.77,"","","",177.3820,-1.7816,177.3308,-2.1143,0.0039,-0.0397,-0.0003,-0.0003
7.80,"","","",177.3683,-1.7816,177.2828,-2.0182,0.0040,-0.0395,-0.0002,-0.0002
7.83,"","","",177.3638,-1.8273,177.2972,-1.9702,0.0038,-0.0397,-0.0003,-0.0003
7.87,"","","",177.3866,-1.8729,177.3020,-1.9702,0.0040,-0.0397,-0.0002,-0.0003
7.90,"","","",177.3912,-1.8729,177.2876,-1.8741,0.0040,-0.0396,-0.0002,-0.0003
7.93,"","","",177.3683,-1.8273,177.2924,-1.7299,0.0041,-0.0396,-0.0002,-0.0002
