! radius
! arcsec   MEAN         MAG      MAGCORR  LUM
!===================================================
    1.00  1898.76318   18.9685   19.6377  367.9057
    2.00  1912.26538   18.9470   19.6161  375.2753
    3.00  1932.15149   18.9161   19.5852  386.1292
    4.00  1916.87061   18.9398   19.6089  377.7888
    5.00  1893.74683   18.9767   19.6458  365.1678
    6.00  1876.65735   19.0048   19.6739  355.8403
    7.00  1858.20544   19.0359   19.7050  345.7692
    8.00  1852.60706   19.0456   19.7147  342.7136
    9.00  1853.49365   19.0440   19.7131  343.1975
   10.00  1846.26392   19.0566   19.7257  339.2515
   11.00  1846.10828   19.0569   19.7260  339.1665
   12.00  1838.48621   19.0703   19.7394  335.0064
   13.00  1830.35583   19.0847   19.7538  330.5688
   14.00  1829.76636   19.0858   19.7549  330.2471
   15.00  1830.92749   19.0837   19.7528  330.8808
   16.00  1831.37988   19.0829   19.7520  331.1277
   17.00  1805.62122   19.1300   19.7991  317.0686
   18.00  1786.41370   19.1665   19.8356  306.5851
   19.00  1776.23303   19.1864   19.8555  301.0284
   20.00  1767.89905   19.2029   19.8720  296.4797
   21.00  1758.90942   19.2210   19.8901  291.5731
   22.00  1747.24744   19.2450   19.9141  285.2080
   23.00  1736.44861   19.2677   19.9368  279.3140
   24.00  1722.11145   19.2985   19.9676  271.4887
   25.00  1715.93164   19.3121   19.9812  268.1157
   26.00  1712.69812   19.3193   19.9884  266.3509
   27.00  1700.43164   19.3469   20.0160  259.6558
   28.00  1688.82715   19.3737   20.0428  253.3220
   29.00  1678.11414   19.3991   20.0682  247.4748
   30.00  1667.90588   19.4238   20.0929  241.9031
   31.00  1662.26672   19.4377   20.1068  238.8253
   32.00  1656.04480   19.4532   20.1223  235.4293
   33.00  1652.41418   19.4624   20.1315  233.4477
   34.00  1641.90527   19.4894   20.1585  227.7119
   35.00  1634.17383   19.5097   20.1788  223.4921
   36.00  1628.39905   19.5252   20.1943  220.3402
   37.00  1621.87000   19.5429   20.2120  216.7766
   38.00  1612.60840   19.5685   20.2376  211.7216
   39.00  1606.51697   19.5857   20.2548  208.3969
   40.00  1599.23218   19.6066   20.2757  204.4208
   41.00  1590.66101   19.6317   20.3008  199.7426
   42.00  1582.81262   19.6553   20.3244  195.4590
   43.00  1577.02405   19.6729   20.3421  192.2995
   44.00  1574.53870   19.6806   20.3497  190.9430
   45.00  1570.77258   19.6924   20.3615  188.8875
   46.00  1565.18445   19.7101   20.3792  185.8375
   47.00  1559.54541   19.7282   20.3973  182.7597
   48.00  1552.55884   19.7511   20.4202  178.9464
   49.00  1547.80750   19.7669   20.4360  176.3531
   50.00  1542.97498   19.7833   20.4524  173.7155
   51.00  1540.02893   19.7934   20.4625  172.1075
   52.00  1538.45813   19.7988   20.4679  171.2501
   53.00  1533.37000   19.8166   20.4857  168.4730
   54.00  1527.69934   19.8367   20.5058  165.3780
   55.00  1525.16638   19.8458   20.5149  163.9955
   56.00  1522.27002   19.8563   20.5254  162.4146
   57.00  1516.87085   19.8762   20.5453  159.4677
   58.00  1512.74561   19.8916   20.5608  157.2162
   59.00  1512.73181   19.8917   20.5608  157.2086
   60.00  1510.96826   19.8984   20.5675  156.2461
